Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
BSX,149.9583333,Health Care,25.2,20,0,0.07,29.93,23.29,36142506007,1726000000,4.055685,4.78
CF,149.9583333,Materials,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,711000000,3.0044448,2.81
CSCO,149.9583333,Information Technology,38.77,17.87,2.8755577,1.91,42.98,30.36,1.99E+11,15447000000,5.484418,3.07
EMR,149.9583333,Industrials,66.4,25.74,2.813225,2.35,74.45,56.77,44040298425,2542000000,3.6707752,5.01
FISV,149.9583333,Information Technology,133.05,27.32,0,4.14,144.2,106.2,26918949723,1911000000,6.518713,11.54
IVZ,149.9583333,Financials,31.92,11.87,3.466826,2.74,38.43,29.36,13620847614,1606200000,2.6513786,1.62
LB,149.9583333,Consumer Discretionary,47.77,12.77,4.886988,3.98,63.1,35,13862042842,2329000000,1.7060977,1403.38
NCLH,149.9583333,Consumer Discretionary,56.01,15.35,0,2.78,61.48,46.96,13191507318,1529401000,3.2066104,2.35
PHM,149.9583333,Consumer Discretionary,28.67,12.86,1.2036108,1.44,35.21,21.06,8792572352,992811000,1.0341544,1.99
AMD,149.9166667,Information Technology,11.22,187,0,0.03,15.65,9.7,11191663795,339000000,2.1091955,21.47
MO,149.9166667,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,1.27E+11,10773000000,4.945682,10.32
CMS,149.9166667,Utilities,41.77,21.42,3.3918407,1.99,50.85,41.07,11873960824,2099000000,2.4711676,2.65
DOV,149.9166667,Industrials,96.2,23.87,1.8815053,5.15,109.06,75.51,15566645713,1513291000,1.986176,3.59
EQR,149.9166667,Real Estate,55.26,17.6,3.5437918,1.63,70.455,56.07,20925508143,1710686000,8.593619,2.09
EXC,149.9166667,Utilities,35.98,14.51,3.8174274,1.23,42.67,33.3,34734816899,8548000000,1.3933871,1.26
PKI,149.9166667,Health Care,72.06,24.68,0.3695394,2.64,84.49,52.63,8351767268,445658000,3.7116463,3.25
REG,149.9166667,Real Estate,55.58,15.27,3.6850338,1.43,72.05,56.66,9858367494,487636000,13.762162,1.51
VFC,149.9166667,Consumer Discretionary,78.75,25.9,2.2865665,2.55,82.95,48.05,31797645904,1624441000,3.7110944,7.89
HOLX,149.8333333,Health Care,38.8,19.21,0,2.64,46.8,35.76,11181493750,1561000000,4.80335,4
NWL,149.8333333,Consumer Discretionary,27.91,9.72,3.1228786,1.17,55.08,23.85,14438346000,2021400000,1.2810479,1.01
NWSA,149.8333333,Consumer Discretionary,15.65,43.47,1.24533,-1.28,17.29,12,9356906461,679000000,1.5518167,0.85
APA,149.7916667,Energy,37.73,-251.53,2.528445,-3.72,57.9,38.14,15066280977,3265000000,3.651366,2.22
FAST,149.7916667,Industrials,52.15,27.02,2.7798648,2.01,57.815,39.79,15311373377,1009600000,3.472977,7.39
HES,149.7916667,Energy,43,-9.33,2.2670596,-19.94,55.48,37.25,14016129999,-819000000,3.780475,1.08
PAYX,149.7916667,Information Technology,61.86,27.49,3.0892801,2.26,73.1,54.2,23253666810,1414900000,7.248487,11.77
SEE,149.7916667,Materials,42.62,21.31,1.4427412,2.46,50.62,41.22,8001938397,969700000,2.4700067,10.55
UDR,149.7916667,Real Estate,32.92,17.79,3.668639,1.08,40.71,33.31,9050154422,665141000,12.365829,3.27
XEL,149.7916667,Utilities,42.44,18.14,3.3914273,2.21,52.22,41.16,21559611927,3885828000,2.520456,1.94
HRB,149.75,Financials,25.19,12.29,3.7296038,1.92,31.8,19.85,5381433872,894754000,2.0188456,205.41
CMCSA,149.75,Consumer Discretionary,38.19,18.54,1.8929017,4.74,44,34.78,1.86E+11,28675000000,2.1797748,2.65
DISCK,149.75,Consumer Discretionary,21.58,10.37,0,1.96,29.18,14.99,8320262123,2100000000,1.7147918,1.43
D,149.75,Utilities,73.31,20.42,4.5281997,4.91,85.3,71.59,47543571860,6428000000,3.7954214,2.96
ETFC,149.75,Financials,48.48,22.14,0,2.15,56,32.25,13754977266,0,5.689136,2.15
FCX,149.75,Materials,17.16,14.67,1.1198208,1.24,20.25,11.05,25853969330,5347000000,1.6538345,3.66
HPE,149.75,Information Technology,15.04,11.57,1.9280206,0.21,24.88,12.815,24800859640,3683000000,1.4609766,1.06
M,149.75,Consumer Discretionary,24,7.67,6.098546,1.98,33.73,17.405,7541063495,2446000000,0.45503208,1.69
PCAR,149.75,Industrials,66.98,15.72,1.455816,4.75,79.69,61.93,24152102921,3619200000,1.28693,3.07
RSG,149.75,Industrials,62.72,26.13,2.1362228,1.77,69.4,57.53,21590903863,2734000000,2.8841186,2.83
FOXA,149.75,Consumer Discretionary,34.56,17.81,0.9983361,1.59,39.135,24.81,44027094922,5280000000,2.1080317,4.11
UAA,149.75,Consumer Discretionary,13.14,32.05,0,0.45,23.46,11.4,5856913571,399277000,1.602308,2.72
UA,149.75,Consumer Discretionary,11.95,29.15,0,0.45,21.805,10.36,5366628950,399277000,1.4738787,2.5
UNM,149.75,Financials,47.87,11.51,1.8189007,4.38,58.73,43.55,11256432318,0,0.9984924,1.19
ZTS,149.75,Health Care,71.51,32.8,0.68237203,1.65,80.13,52,35991109776,1734000000,9.280896,18.09
T,149.7083333,Telecommunication Services,35.57,12.14,5.4156513,4.76,42.7,32.55,2.27E+11,49653000000,1.4083152,1.8
BWA,149.7083333,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000,1.5831376,2.89
COG,149.7083333,Energy,23.01,60.55,1.0269576,-0.92,29.57,21.4,10808821635,404951000,8.636729,4.21
CDNS,149.7083333,Information Technology,36.82,34.09,0,0.74,46,29.01,10890625200,455607000,5.751737,10.98
CAG,149.7083333,Consumer Staples,35.49,18.2,2.3683476,1.46,41.68,32.16,14379717835,1281200000,1.8294994,3.86
DHI,149.7083333,Consumer Discretionary,44.55,16.32,1.0801469,2.73,53.32,29.3716,17390873686,1691000000,1.1931022,2.17
DISCA,149.7083333,Consumer Discretionary,22.87,11,0,1.96,30.25,15.99,8763756733,2100000000,1.804088,1.5
DUK,149.7083333,Utilities,74.32,16.7,4.7849464,3.12,91.8,72.93,52078185682,9895000000,2.9348857,1.27
ETN,149.7083333,Industrials,79.41,17.08,2.9404557,6.68,89.85,69.45,35961772000,4253000000,1.8161736,2.17
XOM,149.7083333,Energy,76.07,21.37,4.0031195,1.88,89.3,76.05,3.26E+11,39052000000,1.7701944,1.85
FLIR,149.7083333,Information Technology,46.46,25.53,1.2396694,1.21,52.88,33.75,6706992926,375267000,5.137961,3.52
FL,149.7083333,Consumer Discretionary,45.88,9.5,2.5827951,4.91,77.86,28.42,5819080328,957000000,1.0362948,
HRL,149.7083333,Consumer Staples,32.21,20.39,2.2907758,1.57,38,29.75,17338613096,1422305000,2.5174792,3.49
IPG,149.7083333,Consumer Discretionary,21.34,15.46,3.3802817,1.49,25.71,18.3,8277363031,1074900000,1.4712903,4.01
NKE,149.7083333,Consumer Discretionary,62.49,24.9,1.2189548,2.51,68.83,50.35,1.07E+11,5162000000,3.0549932,8.91
NRG,149.7083333,Utilities,24,17.78,1.4195584,-2.23,29.78,14.52,8030036023,1774000000,0.9933021,6.73
AMAT,149.6666667,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503,4336000000,4.7020154,5.44
DXC,149.6666667,Information Technology,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020,1628000000,1.9598055,2.26
HBI,149.6666667,Consumer Discretionary,19.57,10.04,2.7322404,1.41,25.73,18.9,8006268615,926153000,1.6339768,6.17
HCP,149.6666667,Real Estate,22.64,10.99,6.330197,1.33,33.67,22.8,10967755538,1412684000,8.127109,1.97
HLT,149.6666667,Consumer Discretionary,78.66,36.42,0.7315289,1.05,88.11,55.79,26242415796,2815000000,3.7628453,17.67
IRM,149.6666667,Real Estate,32.07,15.42,7.08258,0.46,41.53,32.05,9410249279,1116140000,3.2898626,4.97
LEG,149.6666667,Consumer Discretionary,43.99,17.88,3.1454785,2.76,54.97,42,6034600480,447000000,2.0302901,4.89
MET,149.6666667,Financials,44.28,8.52,3.4587116,0.63,56.58,44.58,48679364276,0,1.0496864,0.85
MS,149.6666667,Financials,51.79,14.23,1.8331805,3.09,58.05,40.06,97535400000,0,2.2258842,1.33
PRGO,149.6666667,Health Care,84.44,,0.73126143,-28.01,95.93,63.68,12326379902,0,3.3850067,2.03
PPL,149.6666667,Utilities,29.52,12.83,5.2196894,2.79,40.2,29.205,20839814845,3937000000,3.7497053,1.95
SYY,149.6666667,Consumer Staples,57,22.98,2.4644873,2.08,64.27,48.85,30445320778,2988725000,0.7295535,13.4
DISH,149.625,Consumer Discretionary,43.77,16.09,0,3.06,66.5,42.48,21032719056,2754331000,1.8521843,3.76
ETR,149.625,Utilities,72.02,10.65,4.892126,-3.26,87.95,69.63,13116894887,880700000,1.5543115,1.54
EXPD,149.625,Industrials,60.36,25.26,1.3520038,2.36,67.54,51.96,11040678071,721643000,2.190319,5.55
GIS,149.625,Consumer Staples,53.99,17.53,3.5864594,2.77,63.73,49.65,31098243069,3107600000,2.0389178,7.26
SRCL,149.625,Industrials,70.55,16.26,0,2.08,88,61.25,6218560288,305085000,2.2607324,2.15
TJX,149.625,Consumer Discretionary,74.36,21.01,1.64042,3.46,81.46,66.44,48181450881,4600216000,1.9293598,10.35
JWN,149.5833333,Consumer Discretionary,47.23,15.04,3.0020285,2.02,53,37.7924,8212509855,1448000000,0.74603415,9.1
LUV,149.5833333,Industrials,55.63,15.89,0.863707,5.82,66.985,49.76,34351211637,4533000000,1.6294897,3.84
ICE,149.5416667,Financials,67,22.95,5.4298644,2.37,76.1378,56.8,41373051167,3103000000,9.619987,2.62
LNC,149.5,Financials,73.86,9.49,1.6813145,9.24,86.68,61.45,17123031000,0,1.201944,1.04
NI,149.5,Utilities,22.51,19.57,3.3780859,1.02,27.76,21.93,7776566371,1448600000,2.2361343,1.82
OXY,149.5,Energy,68.47,195.63,4.4081864,-0.75,78.09,57.2,53467692395,5205000000,6.044895,
ORCL,149.5,Information Technology,46.84,18.81,1.5551463,2.2,53.14,40.01,2.02E+11,16545000000,5.2561646,3.56
CL,149.4583333,Consumer Staples,68.95,24.02,2.2801766,2.28,77.91,66.26,61616643498,4064000000,4.000737,236.42
IP,149.4583333,Materials,56.05,15.57,3.206751,5.14,66.94,49.6,24465996443,3004000000,1.0738261,4.99
K,149.4583333,Consumer Staples,65.98,16.5,3.363962,1.95,76.69,58.76,22182794875,1827000000,2.3173764,11.5
PBCT,149.4583333,Financials,18.56,18.02,3.59375,0.97,20.14,15.965,6527616000,0,3.9272704,1.17
TGT,149.4583333,Consumer Discretionary,71.11,14.19,3.3856654,4.71,78.7,48.56,39816696539,7105000000,0.8047394,3.45
WBA,149.4583333,Consumer Staples,68.22,13.38,2.2368238,3.78,88,63.82,70862541911,7083000000,0.5904388,3.06
KSS,149.4166667,Consumer Discretionary,60.34,16.01,3.4965036,3.12,69.14,35.16,10570861198,2286000000,0.8557757,2.04
MAT,149.4166667,Consumer Discretionary,16,-14.68,0,-3.06,26.3,12.71,5843402350,-203599000,1.1863722,3.87
OKE,149.4166667,Energy,54.4,34,5.4436197,1.66,61.36,47.14,21988472489,1851783000,2.6159565,4.03
RRC,149.4166667,Energy,12.82,35.61,0.6097561,-2.79,34.09,12.7,3255587970,820095000,1.9624339,0.59
O,149.4166667,Real Estate,47.56,15.54,5.372036,1.12,63.6,48.89,13784942453,1075568000,15.588069,1.92
STI,149.4166667,Financials,65.8,16.25,2.3185046,4.48,72.06,51.96,32498948310,0,3.3089445,1.38
FOX,149.4166667,Consumer Discretionary,34.09,17.57,1.0084034,1.59,38.56,24.3,66135313503,5280000000,3.1654842,4.04
VZ,149.4166667,Telecommunication Services,49.04,13.08,4.626544,7.36,54.77,42.8,2.08E+11,45745000000,1.6452544,7.96
WMB,149.4166667,Energy,28.56,48.41,4,-0.57,33.67,26.8188,24802396470,3955000000,4.2982845,3.01
BMY,149.375,Health Care,62.69,20.83,2.5546863,2.65,66.1,51.12,1.03E+11,5170000000,6.503231,6.75
F,149.375,Consumer Discretionary,10.43,5.89,6.7843866,1.9,13.48,10.19,42414328338,9281000000,0.27054095,1.26
GILD,149.375,Health Care,78.22,8.16,2.754954,9.95,89.54,63.759,1.08E+11,17590000000,5.2087464,4.12
MMC,149.375,Financials,79.31,20.23,1.8257059,2.87,86.54,69.33,41819440000,3236000000,2.9848945,5.85
MAS,149.375,Industrials,40.7,22.12,0.98383695,1.47,46.445,31.29,13428792315,1179000000,2.308266,11.93
TAP,149.375,Consumer Staples,74.51,17.66,2.1533613,9.27,102.14,75.79,12396862128,4708400000,1.2371694,1.34
PNR,149.375,Industrials,66.67,18.89,2.03933,3.63,74.84,57.63,12466660892,863700000,2.5191512,2.48
RF,149.375,Financials,17.9,17.9,1.8987342,1,19.9,13,21500640000,0,3.474771,1.32
MOS,149.375,Materials,24.13,23.66,0.3960396,0.85,34.36,19.23,9726962131,1165100000,1.8161958,0.94
TSN,149.375,Consumer Staples,73.92,13.92,1.6353229,4.79,84.65,57.2,26957526800,2521000000,0.93730986,2.55
VTR,149.375,Real Estate,50.92,12.21,5.965641,1.86,72.36,51.8,18865999082,1935931000,7.0740495,1.76
APC,149.3333333,Energy,56.2,-21.29,1.7029973,-5.9,70,39.96,32129091747,3115000000,3.9682212,2.88
CERN,149.3333333,Health Care,61.22,27.09,0,1.84,73.86,51.2617,21101697598,1523440000,5.5560412,4.62
NUE,149.3333333,Materials,60.38,17.01,2.415766,4.1,70.48,51.67,20003317128,2648729000,0.99837583,2.34
JNPR,149.2916667,Information Technology,24.66,14.09,1.5754234,0.78,30.96,23.87,9267350000,1115500000,1.8543326,1.78
TSCO,149.2916667,Consumer Discretionary,65.94,19.57,1.6030874,3.3,82.68,49.87,8459271203,859519000,1.1642125,6.01
BLL,149.25,Materials,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518,1317000000,1.5696399,3.62
CNC,149.25,Health Care,100.36,19.12,0,3.23,112.42,65.03,18012494506,2063000000,0.5028663,2.58
INTC,149.25,Information Technology,42.75,12.32,2.6548672,1.98,50.85,33.23,2.12E+11,26247000000,3.348876,3.34
GLW,149.2083333,Information Technology,28.45,16.45,2.0791416,-0.78,35.1,26.31,25759280346,2970000000,2.544682,1.71
PDCO,149.2083333,Health Care,32.88,14.05,3.0723782,1.79,48.295,32.07,3209792400,359644000,0.7872792,2.34
AKAM,149.1666667,Information Technology,62.49,32.55,0,1.79,69.56,44.65,10906904066,789517000,5.8546524,3.25
HP,149.1666667,Energy,64.87,-54.51,4.1499925,-1.2,75.02,42.16,7345243806,483673000,3.7385862,1.62
NTAP,149.1666667,Information Technology,55.85,26.1,1.3881658,1.81,64.0599,37.43,15375210915,1075000000,3.6687026,5.46
PFG,149.1666667,Financials,60.38,11.96,3.1914895,4.5,75.585,58.9401,18457199721,0,1.7167546,1.53
RHI,149.1666667,Industrials,52.26,20.18,1.7075773,2.32,60.59,42.92,7047165475,565196000,1.3330402,5.98
CTSH,149.125,Information Technology,75.16,22.44,1.0454783,2.54,79.28,54.76,45119684067,2946000000,3.9678397,3.94
GM,149.125,Consumer Discretionary,40.75,6.58,3.5857513,6,46.76,31.92,61536606173,23541000000,0.5633218,1.33
INFO,149.125,Industrials,43.73,26.19,0,1,49.19,37.82,17969275816,1018900000,5.0604,2.24
MRK,149.125,Health Care,54.73,13.75,3.435934,1.4,66.8,53.63,1.52E+11,8715000000,5.0893345,4.02
QCOM,149.125,Information Technology,62.42,16.51,3.5055351,1.65,69.28,48.92,96282828902,4191000000,4.263658,3.82
BK,149.125,Financials,53.29,14.76,1.7347307,3.73,58.99,44.91,56083904906,0,3.3834257,1.49
YUM,149.125,Consumer Discretionary,76.3,27.25,1.7970798,4.07,86.93,62.85,27003303098,2289000000,6.3136363,212.08
AIV,149.0833333,Real Estate,38.21,15.6,3.876562,1.95,46.855,38.85,6156884142,874871000,6.187621,4.69
COP,149.0833333,Energy,53.24,72.93,2.049254,-0.65,61.315,42.265,65482462410,5328000000,2.0764177,2.16
DFS,149.0833333,Financials,72.4,12.13,1.8269607,5.41,81.93,57.5,27433540000,0,2.3610325,2.52
GT,149.0833333,Consumer Discretionary,30.75,9.92,1.6731402,4.74,37.2,28.81,8244568238,2044000000,0.72725976,1.65
KMI,149.0833333,Energy,16.8,25.07,2.891845,0.01,22.75,16.56,38612712234,5981000000,2.823936,1.07
SO,149.0833333,Utilities,43.4,15.78,5.3530226,2.53,53.51,42.63,43497224128,6012000000,2.5080602,1.82
SBUX,149.0833333,Consumer Discretionary,53.77,25.98,2.203452,1.97,64.87,52.58,76548976000,7361500000,3.4392443,13.36
VIAB,149.0833333,Consumer Discretionary,32.71,8.68,2.622091,4.68,46.72,22.13,10601008017,5600000000,1.0924768,2.08
A,149.0416667,Health Care,65.05,27.45,0.8756979,2.1,75,49.23,21984606918,1094000000,6.493563,4.56
KR,149.0416667,Consumer Staples,27.57,13.07,1.7301039,2.05,34.75,19.69,25471355847,5342000000,0.27961263,4.02
OMC,149.0416667,Consumer Discretionary,75.91,15.27,3.1838684,4.79,86.71,65.32,17377551986,2366000000,1.5327156,6.66
FLS,149,Industrials,40.82,26.17,1.8291216,1.12,51.92,37.51,5427884956,463066000,2.0803037,3.15
JEC,149,Industrials,62.82,19.45,0.9089532,2.43,72.18,49.31,9326484316,409832000,1.2129636,2.01
ZION,148.9583333,Financials,50.71,17.73,1.480933,2.6,55.61,38.43,10670678640,0,3.7945793,1.42
ATVI,148.9166667,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2704000000,10.59512,5.16
BAX,148.9166667,Health Care,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553,1832000000,3.4394414,3.77
KO,148.9166667,Consumer Staples,43.1,22.8,3.3213644,1.49,48.615,40.22,1.90E+11,8589000000,6.822138,8.65
GRMN,148.9166667,Consumer Discretionary,61.13,21.23,3.2339885,2.69,64.96,48.5,11840331607,736798000,5.319881,3.14
HAL,148.9166667,Energy,47.41,38.86,1.4489837,-0.53,57.86,38.181,43356557470,2910000000,2.1424224,4.74
PWR,148.9166667,Industrials,33.51,17.54,0,1.28,40.105,30.23,5330131216,649404000,0.77893436,1.43
ADM,148.875,Consumer Staples,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663,2927000000,0.52478915,1.29
PEG,148.875,Utilities,46.73,16.11,3.60587,1.75,53.28,41.67,24138050331,3613000000,3.4491453,1.88
XYL,148.875,Industrials,70.24,30.94,1.1700794,1.83,76.81,46.86,12915021000,722000000,2.7262094,5.31
AJG,148.8333333,Financials,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290,888000000,1.9400215,2.92
CPB,148.8333333,Consumer Staples,44.83,14.84,3.125,2.89,64.23,43.5,13467193376,1683000000,2.3898203,7.91
FTV,148.8333333,Industrials,69.14,25.05,0.39057052,2.46,76.68,54.8844,24916503061,1508300000,5.1682673,7.17
KHC,148.8333333,Consumer Staples,71.58,20.11,3.3990483,2.81,97.77,72.05,89618309338,7832000000,4.6780853,1.54
MNST,148.8333333,Consumer Staples,61.99,42.17,0,1.19,70.215,41.02,36403831015,1229478000,14.152587,9.56
ALLE,148.7916667,Industrials,77.32,21.07,0.8004002,2.37,89.81,66.72,7599609494,531800000,4.265232,20.48
FBHS,148.7916667,Industrials,62.44,20.27,1.2618296,3.04,73.62,55.25,9624169008,814500000,1.8434572,3.76
ED,148.75,Utilities,74.73,18.64,3.8001595,4.1,89.7,72.63,23335777662,4288000000,2.960244,1.58
PFE,148.75,Health Care,33.63,12.69,3.8879359,3.51,39.43,31.67,2.09E+11,20569000000,4.0020885,3.4
TPR,148.75,Consumer Discretionary,48.85,,0,2.09,50.71,36.69,14247199374,0,4.0785494,4.35
UAL,148.75,Industrials,63.37,8.85,0,7.05,83.04,56.51,19363059152,5929000000,0.5020496,2.09
SCHW,148.7083333,Financials,48.9,29.82,0.76878726,1.61,56.25,37.16,69750188843,0,7.949615,4.51
DAL,148.6666667,Industrials,51.23,10.37,2.2655525,4.94,60.79,43.81,38393603535,8348000000,0.91792434,2.67
APH,148.625,Information Technology,84.44,25.9,0.8608971,2.05,93.62,67.26,26955335395,1671700000,3.85675,6.64
GE,148.5833333,Industrials,14.45,13.76,3.147541,-0.72,30.59,14.71,1.32E+11,-206000000,1.0887611,1.7
ALK,148.5,Industrials,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734,1665000000,0.9801092,2.21
PYPL,148.5,Information Technology,72.32,49.53,0,1.47,86.32,39.92,90708000000,2932000000,6.935696,5.81
AOS,148.4583333,Industrials,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933,601000000,3.5754826,6.35
CHD,148.4583333,Consumer Staples,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451,868000000,3.1682448,6.28
MU,148.4166667,Information Technology,40,9.01,0,4.36,49.89,22.64,48576791974,12541000000,2.1912806,2.02
PCG,148.4166667,Utilities,38.24,8.75,0,2.78,71.57,38.45,20309412381,6471000000,1.5730644,1.09
QRVO,148.4166667,Information Technology,76.85,19.71,0,-0.13,85.24,62.68,9877885146,806875000,3.389142,1.98
NWS,148.375,Consumer Discretionary,15.85,44.03,1.2269939,-1.28,17.7,12.35,9496735699,679000000,1.5718216,0.86
CAH,148.0833333,Health Care,66.63,12.29,2.8394227,4.04,84.88,54.66,20493281175,1913000000,0.21131156,3.03
NFX,142.875,Energy,26.38,13.12,0,-6.5,43.74,24.41,5695123080,896000000,4.703259,4.51
CHK,132.375,Energy,2.82,4.7,0,-6.44,6.59,2.8,2626102121,1470000000,0.40765184,1.84
